rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate

1,/games/boxart/full_2881264AmericaFrontccc.jpg,https://www.vgchartz.com/game/226237/tetris/?region=All,Tetris    ,Series,The Tetris Company  ,Alexey Pajitnov  ,N/A  ,N/A  ,N/A  ,520.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 88  ,27th Feb 20
2,/games/boxart/full_4261443AmericaFrontccc.jpg,https://www.vgchartz.com/game/226034/pokemon/?region=All,Pokemon    ,Series,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,481.46m,N/A,N/A,N/A,N/A,N/A,28th Sep 98  ,03rd Feb 20
3,/games/boxart/full_9594883AmericaFrontccc.png,https://www.vgchartz.com/game/226036/call-of-duty/?region=All,Call of Duty    ,Series,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,425.00m,N/A,N/A,N/A,N/A,N/A,29th Oct 03  ,03rd Feb 20
4,/games/boxart/full_7292379AmericaFrontccc.jpg,https://www.vgchartz.com/game/226037/grand-theft-auto/?region=All,Grand Theft Auto    ,Series,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,410.00m,N/A,N/A,N/A,N/A,N/A,27th Mar 98  ,03rd Feb 20
5,/games/boxart/full_4441628AmericaFrontccc.jpg,https://www.vgchartz.com/game/226187/super-mario/?region=All,Super Mario    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,408.92m,N/A,N/A,N/A,N/A,N/A,20th Jul 83  ,20th Feb 20
6,/games/boxart/full_4446063AmericaFrontccc.jpg,https://www.vgchartz.com/game/226038/fifa/?region=All,FIFA    ,Series,EA Sports  ,Extended Play Productions (1991-1997)  ,N/A  ,N/A  ,N/A  ,325.00m,N/A,N/A,N/A,N/A,N/A,15th Dec 93  ,03rd Feb 20
7,/games/boxart/full_5967679AmericaFrontccc.jpg,https://www.vgchartz.com/game/226085/minecraft/?region=All,Minecraft    ,Series,Mojang  ,Mojang  ,N/A  ,N/A  ,N/A  ,300.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Feb 20
8,/games/boxart/full_3450397AmericaFrontccc.png,https://www.vgchartz.com/game/227428/minecraft/?region=All,Minecraft    ,All,Mojang  ,Mojang AB  ,N/A  ,N/A  ,N/A  ,300.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Oct 20
9,/games/boxart/full_6011385AmericaFrontccc.jpg,https://www.vgchartz.com/game/226259/lego/?region=All,Lego    ,Series,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,203.22m,N/A,N/A,N/A,N/A,N/A,26th Sep 97  ,01st Mar 20
10,/games/boxart/full_9916295AmericaFrontccc.jpg,https://www.vgchartz.com/game/226103/assassins-creed/?region=All,Assassin's Creed    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,200.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07  ,11th Feb 20
11,/games/boxart/full_1356677AmericaFrontccc.jpg,https://www.vgchartz.com/game/226166/the-sims/?region=All,The Sims    ,Series,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,200.00m,N/A,N/A,N/A,N/A,N/A,04th Feb 00  ,18th Feb 20
12,/games/boxart/full_5096432AmericaFrontccc.png,https://www.vgchartz.com/game/227429/grand-theft-auto-v/?region=All,Grand Theft Auto V    ,All,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,190.00m,N/A,N/A,N/A,N/A,N/A,17th Sep 13  ,08th Oct 20
13,/games/boxart/full_6200477AmericaFrontccc.jpg,https://www.vgchartz.com/game/226241/final-fantasy/?region=All,Final Fantasy    ,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,185.00m,N/A,N/A,N/A,N/A,N/A,18th Dec 87  ,28th Feb 20
14,/games/boxart/full_4399408AmericaFrontccc.jpg,https://www.vgchartz.com/game/226188/mario-kart/?region=All,Mario Kart    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,178.58m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,20th Feb 20
15,/games/boxart/full_1095110AmericaFrontccc.jpg,https://www.vgchartz.com/game/226035/the-legend-of-zelda/?region=All,The Legend of Zelda    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,150.83m,N/A,N/A,N/A,N/A,N/A,14th Jul 87  ,03rd Feb 20
16,/games/boxart/full_3250466AmericaFrontccc.jpg,https://www.vgchartz.com/game/226227/need-for-speed/?region=All,Need for Speed    ,Series,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,150.00m,N/A,N/A,N/A,N/A,N/A,31st Aug 94  ,24th Feb 20
17,/games/boxart/full_3812017AmericaFrontccc.png,https://www.vgchartz.com/game/226039/resident-evil/?region=All,Resident Evil    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,150.00m,N/A,N/A,N/A,N/A,N/A,30th Mar 96  ,03rd Feb 20
18,/games/boxart/full_4657184AmericaFrontccc.jpg,https://www.vgchartz.com/game/226238/tomb-raider/?region=All,Tomb Raider    ,Series,Eidos Interactive  ,Core Design  ,N/A  ,N/A  ,N/A  ,141.00m,N/A,N/A,N/A,N/A,N/A,14th Nov 96  ,27th Feb 20
19,/games/boxart/full_342983AmericaFrontccc.jpg,https://www.vgchartz.com/game/226152/nba-2k/?region=All,NBA 2K    ,Series,2K Games  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,140.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 99  ,16th Feb 20
20,/games/boxart/full_9120390AmericaFrontccc.jpg,https://www.vgchartz.com/game/226229/madden-nfl/?region=All,Madden NFL    ,Series,Electronic Arts  ,Park Place Productions  ,N/A  ,N/A  ,N/A  ,130.00m,N/A,N/A,N/A,N/A,N/A,01st Jun 88  ,25th Feb 20
21,/games/boxart/full_9519107AmericaFrontccc.jpg,https://www.vgchartz.com/game/226191/wiinintendo-sports/?region=All,Wii/Nintendo Sports    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,126.81m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,07th Feb 23
22,/games/boxart/full_6172577AmericaFrontccc.jpg,https://www.vgchartz.com/game/226233/pro-evolution-soccerefootball/?region=All,Pro Evolution Soccer/eFootball    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,112.50m,N/A,N/A,N/A,N/A,N/A,22nd Dec 95  ,07th Feb 22
23,/games/boxart/full_6967040AmericaFrontccc.jpg,https://www.vgchartz.com/game/226081/sonic-the-hedgehog/?region=All,Sonic the Hedgehog    ,Series,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,99.52m,N/A,N/A,N/A,N/A,N/A,23rd Jun 91  ,07th Feb 20
24,/games/boxart/full_7532562AmericaFrontccc.jpg,https://www.vgchartz.com/game/226041/monster-hunter/?region=All,Monster Hunter    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,95.00m,N/A,N/A,N/A,N/A,N/A,21st Sep 04  ,03rd Feb 20
25,/games/boxart/full_9103473AmericaFrontccc.jpg,https://www.vgchartz.com/game/226283/the-elder-scrolls/?region=All,The Elder Scrolls    ,Series,Bethesda Softworks  ,Bethesda Softworks  ,N/A  ,N/A  ,N/A  ,92.20m,N/A,N/A,N/A,N/A,N/A,25th Mar 94  ,04th Mar 20
26,/games/boxart/full_6787813AmericaFrontccc.jpg,https://www.vgchartz.com/game/226066/gran-turismo/?region=All,Gran Turismo    ,Series,Sony Interactive Entertainment  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,90.00m,N/A,N/A,N/A,N/A,N/A,12th May 98  ,05th Feb 20
27,/games/boxart/full_126001AmericaFrontccc.jpg,https://www.vgchartz.com/game/226239/dragon-quest/?region=All,Dragon Quest    ,Series,Square  ,ArtePiazza  ,N/A  ,N/A  ,N/A  ,88.00m,N/A,N/A,N/A,N/A,N/A,27th May 86  ,27th Feb 20
28,/games/boxart/full_8466695AmericaFrontccc.jpg,https://www.vgchartz.com/game/226258/mortal-kombat/?region=All,Mortal Kombat    ,Series,Warner Bros. Interactive Entertainment  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,83.00m,N/A,N/A,N/A,N/A,N/A,08th Oct 92  ,01st Mar 20
29,/games/boxart/full_2258645AmericaFrontccc.jpg,https://www.vgchartz.com/game/2667/wii-sports/?region=All,Wii Sports    ,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,82.90m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
30,/games/boxart/full_7357112AmericaFrontccc.jpg,https://www.vgchartz.com/game/226067/borderlands/?region=All,Borderlands    ,Series,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,81.00m,N/A,N/A,N/A,N/A,N/A,20th Oct 09  ,05th Feb 20
31,/games/boxart/full_62059AmericaFrontccc.png,https://www.vgchartz.com/game/226032/halo/?region=All,Halo    ,Series,Microsoft Game Studios  ,Bungie  ,N/A  ,N/A  ,N/A  ,81.00m,N/A,N/A,N/A,N/A,N/A,15th Nov 01  ,03rd Feb 20
32,/games/boxart/full_6060997AmericaFrontccc.jpg,https://www.vgchartz.com/game/226235/red-dead/?region=All,Red Dead    ,Series,Rockstar Games  ,Rockstar San Diego  ,N/A  ,N/A  ,N/A  ,81.00m,N/A,N/A,N/A,N/A,N/A,04th May 04  ,26th Feb 20
33,/games/boxart/full_3570409AmericaFrontccc.png,https://www.vgchartz.com/game/226101/just-dance/?region=All,Just Dance    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,80.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,11th Feb 20
34,/games/boxart/full_9618625AmericaFrontccc.jpg,https://www.vgchartz.com/game/226219/battlefield/?region=All,Battlefield    ,Series,Electronic Arts  ,EA DICE  ,N/A  ,N/A  ,N/A  ,78.90m,N/A,N/A,N/A,N/A,N/A,10th Sep 02  ,23rd Feb 20
35,/games/boxart/full_5995252AmericaFrontccc.jpg,https://www.vgchartz.com/game/226190/animal-crossing/?region=All,Animal Crossing    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,78.28m,N/A,N/A,N/A,N/A,N/A,16th Sep 02  ,20th Feb 20
36,/games/boxart/full_6424393AmericaFrontccc.jpg,https://www.vgchartz.com/game/226341/pubg/?region=All,PUBG    ,Series,PUBG Corporation  ,PUBG Corporation  ,N/A  ,N/A  ,N/A  ,75.00m,N/A,N/A,N/A,N/A,N/A,20th Dec 17  ,16th Mar 20
37,/games/boxart/full_9734805AmericaFrontccc.jpg,https://www.vgchartz.com/game/226111/the-witcher/?region=All,The Witcher    ,Series,CD Projekt  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,75.00m,N/A,N/A,N/A,N/A,N/A,30th Oct 07  ,13th Feb 20
38,/games/boxart/full_1866696AmericaFrontccc.jpg,https://www.vgchartz.com/game/228118/worms/?region=All,Worms    ,Series,Team17  ,Team17  ,N/A  ,N/A  ,N/A  ,75.00m,N/A,N/A,N/A,N/A,N/A,31st Oct 95  ,26th Jan 21
39,/games/boxart/full_8522156AmericaFrontccc.jpg,https://www.vgchartz.com/game/226193/super-smash-bros/?region=All,Super Smash Bros.    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,73.73m,N/A,N/A,N/A,N/A,N/A,26th Apr 99  ,20th Feb 20
40,/games/boxart/full_3515224AmericaFrontccc.jpg,https://www.vgchartz.com/game/226170/mario-party/?region=All,Mario Party    ,Series,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,73.02m,N/A,N/A,N/A,N/A,N/A,01st Feb 99  ,18th Feb 20
41,/games/boxart/full_7050830AmericaFrontccc.jpg,https://www.vgchartz.com/game/227625/playerunknowns-battlegrounds/?region=All,PlayerUnknown's Battlegrounds    ,All,PUBG Corporation  ,PUBG Corporation  ,N/A  ,N/A  ,N/A  ,70.00m,N/A,N/A,N/A,N/A,N/A,17th Dec 17  ,24th Oct 20
42,/games/boxart/full_49407AmericaFrontccc.jpg,https://www.vgchartz.com/game/226269/wwe-2k/?region=All,WWE 2K    ,Series,2K Games  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,70.00m,N/A,N/A,N/A,N/A,N/A,02nd Mar 00  ,02nd Mar 20
43,/games/boxart/full_2251346AmericaFrontccc.jpg,https://www.vgchartz.com/game/226286/dragon-ball/?region=All,Dragon Ball    ,Series,Bandai  ,Tose  ,N/A  ,N/A  ,N/A  ,69.99m,N/A,N/A,N/A,N/A,N/A,27th Sep 86  ,05th Mar 20
44,/games/boxart/full_5741036AmericaFrontccc.jpg,https://www.vgchartz.com/game/226282/god-of-war/?region=All,God of War    ,Series,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,N/A  ,N/A  ,N/A  ,69.50m,N/A,N/A,N/A,N/A,N/A,22nd Mar 05  ,04th Mar 20
45,/games/boxart/full_9940273AmericaFrontccc.png,https://www.vgchartz.com/game/226068/civilization/?region=All,Civilization    ,Series,Microprose  ,Firaxis Games  ,N/A  ,N/A  ,N/A  ,68.00m,N/A,N/A,N/A,N/A,N/A,01st Sep 91  ,05th Feb 20
46,/games/boxart/full_6829881AmericaFrontccc.jpg,https://www.vgchartz.com/game/226175/counter-strike/?region=All,Counter-Strike    ,Series,Valve  ,Valve  ,N/A  ,N/A  ,N/A  ,65.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 00  ,19th Feb 20
47,/games/boxart/full_1999242AmericaFrontccc.jpg,https://www.vgchartz.com/game/226203/donkey-kong/?region=All,Donkey Kong    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,65.00m,N/A,N/A,N/A,N/A,N/A,31st Jul 81  ,21st Feb 20
48,/games/boxart/full_4881908AmericaFrontccc.jpg,https://www.vgchartz.com/game/226167/the-oregon-trail/?region=All,The Oregon Trail    ,Series,MECC  ,MECC  ,N/A  ,N/A  ,N/A  ,65.00m,N/A,N/A,N/A,N/A,N/A,03rd Dec 71  ,18th Feb 20
49,/games/boxart/full_2853547AmericaFrontccc.jpg,https://www.vgchartz.com/game/226234/metal-gear/?region=All,Metal Gear    ,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,60.20m,N/A,N/A,N/A,N/A,N/A,13th Jul 87  ,26th Feb 20
50,/games/boxart/full_5830479AmericaFrontccc.png,https://www.vgchartz.com/game/227648/the-elder-scrolls-v-skyrim/?region=All,The Elder Scrolls V: Skyrim    ,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,60.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 11  ,27th Oct 20
51,/games/boxart/full_5665526AmericaFrontccc.jpg,https://www.vgchartz.com/game/226289/harry-potterwizarding-world/?region=All,Harry Potter/Wizarding World    ,Series,Electronic Arts  ,Griptonite Games  ,N/A  ,N/A  ,N/A  ,57.70m,N/A,N/A,N/A,N/A,N/A,15th Nov 01  ,23rd Feb 23
52,/games/boxart/full_895207AmericaFrontccc.png,https://www.vgchartz.com/game/153114/mario-kart-8-deluxe/?region=All,Mario Kart 8 Deluxe    ,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.3  ,N/A  ,57.01m,N/A,N/A,N/A,N/A,N/A,28th Apr 17  ,19th Nov 18
53,/games/boxart/full_5942658AmericaFrontccc.jpg,https://www.vgchartz.com/game/227430/red-dead-redemption-2/?region=All,Red Dead Redemption 2    ,All,Rockstar Games  ,Rockstar Studios  ,N/A  ,N/A  ,N/A  ,57.00m,N/A,N/A,N/A,N/A,N/A,26th Oct 18  ,08th Oct 20
54,/games/boxart/full_3500762AmericaFrontccc.jpg,https://www.vgchartz.com/game/226172/diablo/?region=All,Diablo    ,Series,Blizzard Entertainment  ,Blizzard North  ,N/A  ,N/A  ,N/A  ,55.00m,N/A,N/A,N/A,N/A,N/A,03rd Jan 97  ,18th Feb 20
55,/games/boxart/full_7174839AmericaFrontccc.jpg,https://www.vgchartz.com/game/226204/tekken/?region=All,Tekken    ,Series,Namco  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,55.00m,N/A,N/A,N/A,N/A,N/A,11th Dec 94  ,21st Feb 20
56,/games/boxart/full_1707AmericaFrontccc.jpg,https://www.vgchartz.com/game/226268/lego-star-wars/?region=All,Lego Star Wars    ,Series,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,53.20m,N/A,N/A,N/A,N/A,N/A,29th Mar 05  ,02nd Mar 20
57,/games/boxart/full_8519936AmericaFrontccc.jpg,https://www.vgchartz.com/game/226102/far-cry/?region=All,Far Cry    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,52.50m,N/A,N/A,N/A,N/A,N/A,23rd Mar 04  ,11th Feb 20
58,/games/boxart/full_1218886AmericaFrontccc.png,https://www.vgchartz.com/game/226040/street-fighter/?region=All,Street Fighter    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,52.00m,N/A,N/A,N/A,N/A,N/A,30th Aug 87  ,03rd Feb 20
59,/games/boxart/full_7478122AmericaFrontccc.jpg,https://www.vgchartz.com/game/226290/fallout/?region=All,Fallout    ,Series,Bethesda Softworks  ,Interplay Entertainment  ,N/A  ,N/A  ,N/A  ,51.43m,N/A,N/A,N/A,N/A,N/A,10th Oct 97  ,07th Mar 20
60,/games/boxart/full_413263AmericaFrontccc.jpg,https://www.vgchartz.com/game/226214/kirby/?region=All,Kirby    ,Series,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,50.26m,N/A,N/A,N/A,N/A,N/A,01st Aug 92  ,22nd Feb 20
61,/games/boxart/full_6321657AmericaFrontccc.jpg,https://www.vgchartz.com/game/228039/the-walking-dead-telltale-games-series/?region=All, The Walking Dead: Telltale Games Series    ,Series,Telltale Games  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,24th Apr 12  ,12th Jan 21
62,/games/boxart/full_8660779AmericaFrontccc.jpg,https://www.vgchartz.com/game/226228/bejeweled/?region=All,Bejeweled    ,Series,PopCap Games  ,PopCap Games  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,30th May 01  ,25th Feb 20
63,/games/boxart/full_2715474AmericaFrontccc.jpg,https://www.vgchartz.com/game/226264/crash-bandicoot/?region=All,Crash Bandicoot    ,Series,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,09th Sep 96  ,02nd Mar 20
64,/games/boxart/full_6332615AmericaFrontccc.png,https://www.vgchartz.com/game/232051/destiny/?region=All,Destiny    ,Series,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,09th Sep 14  ,06th Aug 23
65,/games/boxart/full_3930956AmericaFrontccc.jpg,https://www.vgchartz.com/game/227681/the-witcher-3-wild-hunt/?region=All,The Witcher 3: Wild Hunt    ,All,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,18th May 15  ,29th Oct 20
66,/games/boxart/full_3351915AmericaFrontccc.jpg,https://www.vgchartz.com/game/226375/warriors/?region=All,Warriors    ,Series,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,49.95m,N/A,N/A,N/A,N/A,N/A,30th Jun 97  ,24th Mar 20
67,/games/boxart/full_9139038AmericaFrontccc.jpg,https://www.vgchartz.com/game/226323/spider-man/?region=All,Spider-Man    ,Series,Parker Brothers  ,Parker Brothers  ,N/A  ,N/A  ,N/A  ,47.50m,N/A,N/A,N/A,N/A,N/A,01st Jan 82  ,12th Mar 20
68,/games/boxart/full_7749058AmericaFrontccc.jpg,https://www.vgchartz.com/game/226294/terraria/?region=All,Terraria    ,Series,505 Games  ,Re-Logic  ,N/A  ,N/A  ,N/A  ,44.50m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,07th Mar 20
69,/games/boxart/full_9847529AmericaFrontccc.jpg,https://www.vgchartz.com/game/227443/terraria/?region=All,Terraria    ,All,Re-Logic  ,Re-Logic  ,N/A  ,N/A  ,N/A  ,44.50m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,10th Oct 20
70,/games/boxart/full_9133566AmericaFrontccc.png,https://www.vgchartz.com/game/226078/total-war/?region=All,Total War    ,Series,Sega  ,Creative Assembly  ,N/A  ,N/A  ,N/A  ,44.27m,N/A,N/A,N/A,N/A,N/A,13th Jun 00  ,07th Feb 20
71,/games/boxart/full_2491344AmericaFrontccc.png,https://www.vgchartz.com/game/226148/uncharted/?region=All,Uncharted    ,Series,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,44.25m,N/A,N/A,N/A,N/A,N/A,20th Nov 07  ,15th Feb 20
72,/games/boxart/full_4140328AmericaFrontccc.jpg,https://www.vgchartz.com/game/226182/wii-fit/?region=All,Wii Fit    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,43.80m,N/A,N/A,N/A,N/A,N/A,21st May 08  ,19th Feb 20
73,/games/boxart/full_5208890AmericaFrontccc.jpg,https://www.vgchartz.com/game/222779/animal-crossing-new-horizons/?region=All,Animal Crossing: New Horizons    Read the review,NS,Nintendo  ,Nintendo  ,8.0  ,N/A  ,N/A  ,43.38m,N/A,N/A,N/A,N/A,N/A,20th Mar 20  ,11th Apr 20
74,/games/boxart/full_1870948AmericaFrontccc.jpg,https://www.vgchartz.com/game/226226/star-wars-battlefront/?region=All,Star Wars: Battlefront    ,Series,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,43.00m,N/A,N/A,N/A,N/A,N/A,21st Sep 04  ,24th Feb 20
75,/games/boxart/full_5948706AmericaFrontccc.jpg,https://www.vgchartz.com/game/226084/bioshock/?region=All,BioShock    ,Series,2K Games  ,Irrational Games  ,N/A  ,N/A  ,N/A  ,42.00m,N/A,N/A,N/A,N/A,N/A,21st Aug 07  ,08th Feb 20
76,/games/boxart/full_5448686AmericaFrontccc.jpg,https://www.vgchartz.com/game/226314/gears-of-war/?region=All,Gears of War    ,Series,Microsoft Game Studios  ,Epic Games  ,N/A  ,N/A  ,N/A  ,41.00m,N/A,N/A,N/A,N/A,N/A,07th Nov 06  ,11th Mar 20
77,/games/boxart/full_6885786AmericaFrontccc.png,https://www.vgchartz.com/game/226042/mega-man/?region=All,Mega Man    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,41.00m,N/A,N/A,N/A,N/A,N/A,17th Dec 87  ,03rd Feb 20
78,/games/boxart/full_7858118AmericaFrontccc.jpg,https://www.vgchartz.com/game/226363/world-of-warcraft/?region=All,World of WarCraft    ,Series,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,40.60m,N/A,N/A,N/A,N/A,N/A,23rd Nov 04  ,20th Mar 20
79,/games/boxart/8972270ccc.jpg,https://www.vgchartz.com/game/6455/super-mario-bros/?region=All,Super Mario Bros.    ,NES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,8.2  ,40.24m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
80,/games/boxart/full_3053446AmericaFrontccc.jpg,https://www.vgchartz.com/game/57184/counter-strike-global-offensive/?region=All,Counter-Strike: Global Offensive    ,PC,Valve  ,Valve Corporation  ,N/A  ,N/A  ,N/A  ,40.00m,N/A,N/A,N/A,N/A,N/A,21st Aug 12  ,26th Mar 19
81,/games/boxart/full_2714227AmericaFrontccc.jpg,https://www.vgchartz.com/game/226287/guitar-hero/?region=All,Guitar Hero    ,Series,Activision  ,Harmonix  ,N/A  ,N/A  ,N/A  ,40.00m,N/A,N/A,N/A,N/A,N/A,08th Nov 05  ,05th Mar 20
82,/games/boxart/full_16750AmericaFrontccc.jpg,https://www.vgchartz.com/game/231415/marvels-spider-man/?region=All,Marvel's Spider-Man    ,Series,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,39.50m,N/A,N/A,N/A,N/A,N/A,07th Sep 18  ,08th Jan 23
83,/games/boxart/full_702042AmericaFrontccc.jpg,https://www.vgchartz.com/game/226225/medal-of-honor/?region=All,Medal of Honor    ,Series,Electronic Arts  ,2015, Inc.  ,N/A  ,N/A  ,N/A  ,39.00m,N/A,N/A,N/A,N/A,N/A,31st Oct 99  ,24th Feb 20
84,/games/boxart/full_2022224AmericaFrontccc.jpg,https://www.vgchartz.com/game/226158/souls/?region=All,Souls    ,Series,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,37.58m,N/A,N/A,N/A,N/A,N/A,06th Oct 09  ,17th Feb 20
85,/games/boxart/full_8932480AmericaFrontccc.jpg,https://www.vgchartz.com/game/6968/mario-kart-wii/?region=All,Mario Kart Wii    Read the review,Wii,Nintendo  ,Nintendo EAD  ,8.7  ,8.2  ,9.1  ,37.38m,N/A,N/A,N/A,N/A,N/A,27th Apr 08  ,11th Apr 18
86,/games/boxart/full_3923196AmericaFrontccc.jpg,https://www.vgchartz.com/game/226267/the-last-of-us/?region=All,The Last of Us    ,Series,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,37.37m,N/A,N/A,N/A,N/A,N/A,14th Jun 13  ,02nd Mar 20
87,/games/boxart/full_8052843AmericaFrontccc.jpg,https://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All,PLAYERUNKNOWN'S BATTLEGROUNDS    ,PC,PUBG Corporation  ,PUBG Corporation  ,N/A  ,N/A  ,N/A  ,36.60m,N/A,N/A,N/A,N/A,N/A,21st Dec 17  ,29th Apr 19
88,/games/boxart/full_221036AmericaFrontccc.jpg,https://www.vgchartz.com/game/226236/kingdom-hearts/?region=All,Kingdom Hearts    ,Series,Square Enix  ,Square  ,N/A  ,N/A  ,N/A  ,36.00m,N/A,N/A,N/A,N/A,N/A,17th Sep 02  ,27th Feb 20
89,/games/boxart/full_9670934AmericaFrontccc.jpg,https://www.vgchartz.com/game/226100/tom-clancys-rainbow-six/?region=All,Tom Clancy's Rainbow Six    ,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,36.00m,N/A,N/A,N/A,N/A,N/A,21st Aug 98  ,10th Feb 20
90,/games/boxart/full_8994911AmericaFrontccc.jpg,https://www.vgchartz.com/game/231093/dark-souls/?region=All,Dark Souls    ,Series,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,35.18m,N/A,N/A,N/A,N/A,N/A,04th Oct 11  ,22nd Oct 22
91,/games/boxart/full_7634300AmericaFrontccc.jpg,https://www.vgchartz.com/game/226189/brain-age/?region=All,Brain Age    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,35.16m,N/A,N/A,N/A,N/A,N/A,16th Apr 06  ,20th Feb 20
92,/games/boxart/full_5143352AmericaFrontccc.jpg,https://www.vgchartz.com/game/226224/nba-live/?region=All,NBA Live    ,Series,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,35.00m,N/A,N/A,N/A,N/A,N/A,01st Oct 94  ,24th Feb 20
