rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1581,/games/boxart/full_batman-arkham-city_659AmericaFront.jpg,https://www.vgchartz.com/game/41801/batman-arkham-city/?region=All,Batman: Arkham City    ,PC,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,9.0  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,22nd Nov 11  ,N/A
1582,/games/boxart/full_8506523AmericaFrontccc.jpg,https://www.vgchartz.com/game/85397/madden-nfl-16/?region=All,Madden NFL 16    ,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.4  ,N/A  ,N/A,2.47m,2.13m,0.08m,N/A,0.26m,25th Aug 15  ,31st Mar 18
1583,/games/boxart/6052819ccc.jpg,https://www.vgchartz.com/game/1259/mario-party-4/?region=All,Mario Party 4    ,GC,Nintendo  ,Hudson Soft  ,N/A  ,7.0  ,N/A  ,2.46m,N/A,N/A,N/A,N/A,N/A,21st Oct 02  ,N/A
1584,/games/boxart/full_1175839AmericaFrontccc.jpg,https://www.vgchartz.com/game/72235/dying-light/?region=All,Dying Light    Read the review,PS4,Warner Bros. Interactive  ,Techland  ,8.0  ,N/A  ,N/A  ,N/A,2.45m,1.18m,0.74m,0.13m,0.40m,27th Jan 15  ,04th May 18
1585,/games/boxart/full_2202568AmericaFrontccc.jpg,https://www.vgchartz.com/game/227786/sonic-unleashed/?region=All,Sonic Unleashed    ,All,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,2.45m,N/A,N/A,N/A,N/A,N/A,18th Nov 08  ,13th Nov 20
1586,/games/boxart/full_lego-harry-potter-years-1-4_9AmericaFront.jpg,https://www.vgchartz.com/game/35012/lego-harry-potter-years-1-4/?region=All,LEGO Harry Potter: Years 1-4    ,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.9  ,N/A  ,N/A,2.45m,1.29m,0.94m,N/A,0.22m,29th Jun 10  ,01st Dec 18
1587,/games/boxart/full_udraw-studio_20AmericaFront.jpg,https://www.vgchartz.com/game/46823/udraw-studio/?region=All,uDraw Studio    ,Wii,THQ  ,Pipeworks Software, Inc.  ,N/A  ,N/A  ,N/A  ,N/A,2.44m,1.65m,0.58m,N/A,0.21m,14th Nov 10  ,N/A
1588,/games/boxart/full_7285241AmericaFrontccc.jpg,https://www.vgchartz.com/game/228325/blazblue/?region=All,BlazBlue    ,Series,Aksys Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,2.44m,N/A,N/A,N/A,N/A,N/A,20th Nov 08  ,19th Feb 21
1589,/games/boxart/full_7744633AmericaFrontccc.jpg,https://www.vgchartz.com/game/86432/madden-nfl-17/?region=All,Madden NFL 17    ,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.1  ,N/A  ,N/A,2.44m,2.14m,0.04m,N/A,0.26m,23rd Aug 16  ,01st Apr 18
1590,/games/boxart/2131878ccc.jpg,https://www.vgchartz.com/game/2549/twisted-metal-2/?region=All,Twisted Metal 2    ,PS,Sony Computer Entertainment  ,SingleTrac  ,N/A  ,8.7  ,N/A  ,N/A,2.44m,2.12m,0.25m,N/A,0.07m,31st Oct 96  ,N/A
1591,/games/boxart/6080333ccc.jpg,https://www.vgchartz.com/game/5852/the-sims-bustin-out/?region=All,The Sims: Bustin' Out    ,PS2,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,2.43m,1.07m,1.19m,N/A,0.18m,15th Dec 03  ,N/A
1592,/games/boxart/full_4024693AmericaFrontccc.jpg,https://www.vgchartz.com/game/222155/dragon-ball-fighterz/?region=All,Dragon Ball FighterZ    ,NS,Bandai Namco Entertainment  ,Arc System Works  ,N/A  ,9.0  ,N/A  ,2.43m,N/A,N/A,N/A,N/A,N/A,28th Sep 18  ,12th Jun 18
1593,/games/boxart/full_1369956AmericaFrontccc.png,https://www.vgchartz.com/game/227790/sonic-amp-sega-all-stars-racing/?region=All,Sonic & Sega All-Stars Racing    ,Series,Sega  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,2.43m,N/A,N/A,N/A,N/A,N/A,23rd Feb 10  ,13th Nov 20
1594,/games/boxart/full_5215561AmericaFrontccc.jpg,https://www.vgchartz.com/game/227716/tom-clancys-ghost-recon/?region=All,Tom Clancy's Ghost Recon    ,All,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,2.43m,N/A,N/A,N/A,N/A,N/A,13th Nov 01  ,02nd Nov 20
